state,year,pres,gov,grade,subject,bb,ba,pr,ad
AR,2013,R,D,8,MATHEMATICS,30.9620356427692,41.3571854337425,23.168437386279,4.51234153720921
AR,2013,R,D,8,READING,27.1769987894995,42.4914795081041,27.4104046902245,2.92111701217189
AR,2015,R,R,4,MATHEMATICS,21.3959157181927,46.6491212039039,28.4721407926837,3.48282228521959
AR,2015,R,R,4,READING,34.9460812807004,33.5311069323227,25.3316949114329,6.19111687554406
AR,2015,R,R,4,SCIENCE,26.5225792185473,40.2367324414977,32.8906075981395,0
AR,2015,R,R,8,MATHEMATICS,34.081858250964,40.9999468255295,21.0867463452856,3.83144857822088
AR,2015,R,R,8,READING,29.9226121474414,43.261859703996,24.6387327992781,2.17679534928449
AR,2015,R,R,8,SCIENCE,38.3957153752583,33.4750515611412,27.1652756631359,0.963957400464592
AR,2017,R,R,4,MATHEMATICS,24.9969456217906,42.2704660008346,27.8019194237949,4.93066895357988
AR,2017,R,R,4,READING,37.1375373800303,31.6084581486657,24.523491984016,6.73051248728796
AR,2017,R,R,8,MATHEMATICS,37.8922312009186,36.6287968954561,20.0924712003242,5.38650070330115
AR,2017,R,R,8,READING,28.7664128197598,42.5623599738834,26.1407884001433,2.53043880621341
AR,2019,R,R,4,MATHEMATICS,24.8843159898883,41.8669236976035,28.7214466144615,4.52731369804673
AR,2019,R,R,4,READING,37.8845000566143,30.9250253027804,24.1584375900541,7.03203705055118
AR,2019,R,R,8,MATHEMATICS,36.9572348327021,35.734503294109,21.3673816069973,5.94088026619172
AR,2019,R,R,8,READING,31.8630070506813,38.6216203446029,26.0366766225185,3.47869598219737
AR,1994,D,D,4,READING,46.4403193383911,29.6169296036487,19.235026834573,4.70772422338717
AR,1998,D,R,4,READING,45.9016366645321,31.5512565536883,18.1518809686411,4.39522581313846
AR,1998,D,R,8,READING,31.6791812642345,45.0021743789306,22.1096007341233,1.20904362271157
AR,2002,R,R,4,READING,41.655435422728,32.5695861937397,20.834270373113,4.94070801041934
AR,2002,R,R,8,READING,28.0742268990979,44.6279157238078,25.5051949202371,1.79266245685712
AR,1990,R,D,8,MATHEMATICS,56.1112956434446,34.5796084056806,8.59395921116518,0.715136739709673
CA,1992,D,R,4,MATHEMATICS,53.6081846916192,34.0270786236083,11.1003326959594,1.26440398881316
CA,1992,D,R,4,READING,52.3897184156746,28.1366815518813,15.8425659508863,3.63103408155775
CA,1992,D,R,8,MATHEMATICS,49.5882823542234,34.2360481791921,13.9914711324639,2.18419833412064
CA,1996,D,R,4,MATHEMATICS,54.2255793650571,35.1433232993551,9.71558369775136,0.915513637836454
CA,1996,D,R,8,MATHEMATICS,48.6202706455631,34.5218919297164,14.0516051417005,2.80623228302002
CA,2000,D,D,4,MATHEMATICS,50.3895459516941,36.8094007465141,12.1690368654339,0.632016436357911
CA,2000,D,D,8,MATHEMATICS,50.2574172549596,33.0027059726209,14.2949768947568,2.44489987766269
CA,2003,D,R,4,MATHEMATICS,32.8503935213188,42.4237905213829,21.7613634725772,2.96445248472115
CA,2003,D,R,4,READING,50.4356438316767,28.4788925961353,16.1114084054173,4.97405516677063
CA,2003,D,R,8,MATHEMATICS,44.2777331551868,34.0173695249036,17.3132391761127,4.39165814379692
CA,2003,D,R,8,READING,38.8203635969146,38.7365110200279,20.4778540835596,1.96527129949779
CA,2005,D,R,4,MATHEMATICS,29.0858627165923,42.9082123453362,24.2116723666637,3.79425257140781
CA,2005,D,R,4,READING,50.0125330748192,28.5593052798486,16.6658448405535,4.76231680477865
CA,2005,D,R,8,MATHEMATICS,42.9531237221903,35.2912930277291,17.2360427806037,4.51954046947682
CA,2005,D,R,8,READING,40.2207795922253,39.2379295396991,18.9471941273894,1.59409674068617
CA,2007,D,R,4,MATHEMATICS,30.4371732141858,39.8928094364109,25.2311816806359,4.4388356687674
CA,2007,D,R,4,READING,46.8313920148385,30.263557547634,17.7747682474622,5.13028219006532
CA,2007,D,R,8,MATHEMATICS,40.9155722263535,35.1566347341608,19.0096652612558,4.91812777822985
CA,2007,D,R,8,READING,37.7498483981795,40.7842540334712,19.7943948496264,1.67150271872293
CA,2009,D,R,4,MATHEMATICS,28.3144977430998,41.441003894236,24.8841411825542,5.36035718010989
CA,2009,D,R,4,READING,46.0551395634248,30.2719720407368,18.4914125765971,5.18147581924128
CA,2009,D,R,4,SCIENCE,42.3269885959177,35.234835798783,21.9249182662749,0.513257339024412
CA,2009,D,R,8,MATHEMATICS,40.9443957694147,35.6220496493158,18.3128018409827,5.12075274028677
CA,2009,D,R,8,READING,36.3967852385139,41.3572020407729,20.4212790380271,1.82473368268605
CA,2009,D,R,8,SCIENCE,51.6174725377113,28.7545044785566,18.7429167803455,0.885106203386647
CA,2011,D,D,4,MATHEMATICS,26.1671600710309,40.0279848391429,27.5024011851177,6.3024539047086
CA,2011,D,D,4,READING,43.6256600600278,31.7652541487259,18.8562615030455,5.75282428820082
CA,2011,D,D,8,MATHEMATICS,38.5585828477995,36.1045698809236,19.1193517655919,6.21749550568498
CA,2011,D,D,8,READING,34.6520932903803,41.6446867105412,21.0094909985785,2.69372900049997
CA,2011,D,D,8,SCIENCE,47.4691976252881,30.122175860395,21.4913208498206,0.917305664496318
CA,2013,D,D,4,MATHEMATICS,26.2424813668975,41.1612583826808,27.2321034028588,5.36415684756288
CA,2013,D,D,4,READING,41.8146687861929,31.2839198440107,20.9858439665926,5.91556740320378
CA,2013,D,D,8,MATHEMATICS,35.3090627541428,37.1156216637556,21.1237486466451,6.4515669354565
CA,2013,D,D,8,READING,27.9092194050124,42.7780116680854,26.3179445487115,2.99482437819068
CA,2015,D,D,4,MATHEMATICS,27.6386825575272,43.1983399410318,24.504857308257,4.658120193184
CA,2015,D,D,4,READING,41.37583136478,30.8285049947462,21.5811737325281,6.21448990794564
CA,2015,D,D,4,SCIENCE,37.1122479560563,38.8854891400308,23.5335483637023,0
CA,2015,D,D,8,MATHEMATICS,36.1492126310995,36.7278978950842,20.7022691302576,6.4206203435588
CA,2015,D,D,8,READING,29.7656073749008,41.8261991198,25.899612232301,2.50858127299821
CA,2015,D,D,8,SCIENCE,44.3434827844679,32.1196497092031,22.3919123310286,1.14495517530042
CA,2017,D,D,4,MATHEMATICS,28.983493792924,39.800781128935,24.9670636333732,6.24866144476786
CA,2017,D,D,4,READING,39.0126528184512,29.8527069778235,23.0289255053434,8.1057146983819
CA,2017,D,D,8,MATHEMATICS,37.5690754439242,33.2916283829212,19.7259796183018,9.41331655485286
CA,2017,D,D,8,READING,27.7156245940368,40.0645999661922,28.0538789432961,4.16589649647494
CA,2019,D,D,4,MATHEMATICS,25.4229904885172,40.9499901871485,26.6885806907104,6.93843863362387
CA,2019,D,D,4,READING,37.4511638822822,30.402184621804,23.7022005850897,8.44445091082405
CA,2019,D,D,8,MATHEMATICS,39.0412624479099,32.4519686843517,18.9550906727995,9.55167819493889
CA,2019,D,D,8,READING,32.1880487399076,37.9744234336553,25.8313088811876,4.00621894524944
CA,1994,D,R,4,READING,55.6562718071964,26.8254251971239,14.0966307321416,3.42167226353812
CA,1998,D,R,4,READING,51.8631283191141,27.8110557742442,16.243177934367,4.0826379722747
CA,1998,D,R,8,READING,36.7272783369106,42.2650594895464,20.2574736041973,0.750188569345685
CA,2002,D,D,4,READING,49.6097935429467,29.3107833148303,17.059221380638,4.02020176158496
CA,2002,D,D,8,READING,39.0308242310753,40.8851000413473,18.9867027883915,1.09737293918585
CA,1990,R,R,8,MATHEMATICS,55.379535667087,32.1666367582519,10.7999414450362,1.65388612962495
CO,1992,D,D,4,MATHEMATICS,39.1724382814397,43.3321037335379,15.9495323624301,1.54592562259224
CO,1992,D,D,4,READING,36.2519377250155,38.46860812021,21.4272962314495,3.85215792332501
CO,1992,D,D,8,MATHEMATICS,36.1072823780984,42.2994081643015,19.4933528688947,2.09995658870537
CO,1996,R,D,4,MATHEMATICS,33.1084272805985,44.7068903767074,20.4408442750602,1.74383806763382
CO,1996,R,D,8,MATHEMATICS,33.3811974429439,41.2123931825294,22.2352994470055,3.17110992752122
CO,2003,R,R,4,MATHEMATICS,23.0065856151925,43.0982739666374,29.7353820468904,4.15975837127969
CO,2003,R,R,4,READING,30.6029637502942,32.6421339512933,27.8168715153139,8.93803078309859
CO,2003,R,R,8,MATHEMATICS,26.175525039024,39.4485456651379,26.8702533468057,7.50567594903236
CO,2003,R,R,8,READING,22.3469864272423,41.6554230654518,31.7512725985817,4.24631790872428
CO,2005,R,R,4,MATHEMATICS,19.4942964720304,41.702899626887,32.5588740283918,6.24392987269076
CO,2005,R,R,4,READING,30.5132079084696,32.9245922377473,28.2455451838728,8.31665466991032
CO,2005,R,R,8,MATHEMATICS,29.5211282130747,38.4575105583391,25.7232250878467,6.29813614073946
CO,2005,R,R,8,READING,24.5556646157313,43.5486910422989,28.4243129075554,3.47133143441438
