state,year,years_since_ald_set,pres,gov,grade,subject,ald,value
CO,2015,0,D,D,4,MATHEMATICS,BB,17.9911669163804
CO,2015,0,D,D,4,MATHEMATICS,BA,39.349123523491
CO,2015,0,D,D,4,MATHEMATICS,PR,34.2248971103049
CO,2015,0,D,D,4,MATHEMATICS,AD,8.4348124498237
CO,2015,0,D,D,4,READING,BB,29.3868606772608
CO,2015,0,D,D,4,READING,BA,32.0117180545422
CO,2015,0,D,D,4,READING,PR,28.9043494802167
CO,2015,0,D,D,4,READING,AD,9.69707178798039
CO,2015,0,D,D,8,MATHEMATICS,BB,26.7590093769187
CO,2015,0,D,D,8,MATHEMATICS,BA,36.3078944733683
CO,2015,0,D,D,8,MATHEMATICS,PR,26.6075177886694
CO,2015,0,D,D,8,MATHEMATICS,AD,10.3255783610436
CO,2015,0,D,D,8,READING,BB,21.7192996420521
CO,2015,0,D,D,8,READING,BA,40.0531811578623
CO,2015,0,D,D,8,READING,PR,34.9178770859847
CO,2015,0,D,D,8,READING,AD,3.30964211410095
CO,2017,2,D,D,4,MATHEMATICS,BB,19.8699727606723
CO,2017,2,D,D,4,MATHEMATICS,BA,37.7458930037247
CO,2017,2,D,D,4,MATHEMATICS,PR,33.6181015238624
CO,2017,2,D,D,4,MATHEMATICS,AD,8.76603271174066
CO,2017,2,D,D,4,READING,BB,29.3671684860512
CO,2017,2,D,D,4,READING,BA,30.7018620657701
CO,2017,2,D,D,4,READING,PR,29.5785304058409
CO,2017,2,D,D,4,READING,AD,10.3524390423378
CO,2017,2,D,D,8,MATHEMATICS,BB,26.1815675879297
CO,2017,2,D,D,8,MATHEMATICS,BA,35.5525565108216
CO,2017,2,D,D,8,MATHEMATICS,PR,26.6733343575374
CO,2017,2,D,D,8,MATHEMATICS,AD,11.5925415437113
CO,2017,2,D,D,8,READING,BB,20.6392927029251
CO,2017,2,D,D,8,READING,BA,38.8430280187892
CO,2017,2,D,D,8,READING,PR,34.9190859426406
CO,2017,2,D,D,8,READING,AD,5.59859333564508
CO,2019,4,D,D,4,MATHEMATICS,BB,19.5234366114008
CO,2019,4,D,D,4,MATHEMATICS,BA,36.0152266283403
CO,2019,4,D,D,4,MATHEMATICS,PR,34.0537832380533
CO,2019,4,D,D,4,MATHEMATICS,AD,10.4075535222056
CO,2019,4,D,D,4,READING,BB,29.2008087151219
CO,2019,4,D,D,4,READING,BA,31.126052170288
CO,2019,4,D,D,4,READING,PR,28.7948893760506
CO,2019,4,D,D,4,READING,AD,10.8782497385395
CO,2019,4,D,D,8,MATHEMATICS,BB,27.4782119017557
CO,2019,4,D,D,8,MATHEMATICS,BA,35.5867749336112
CO,2019,4,D,D,8,MATHEMATICS,PR,26.1973912277551
CO,2019,4,D,D,8,MATHEMATICS,AD,10.737621936878
CO,2019,4,D,D,8,READING,BB,23.1250262476992
CO,2019,4,D,D,8,READING,BA,39.2189466676659
CO,2019,4,D,D,8,READING,PR,33.0523382951197
CO,2019,4,D,D,8,READING,AD,4.60368878951516
CT,2011,1,D,?,4,MATHEMATICS,BB,18.1330903174294
CT,2011,1,D,?,4,MATHEMATICS,BA,36.41996130864
CT,2011,1,D,?,4,MATHEMATICS,PR,37.2107898763155
CT,2011,1,D,?,4,MATHEMATICS,AD,8.23615849761512
CT,2011,1,D,?,4,READING,BB,26.9216764725985
CT,2011,1,D,?,4,READING,BA,31.0804966437398
CT,2011,1,D,?,4,READING,PR,29.8845815438185
CT,2011,1,D,?,4,READING,AD,12.1132453398432
CT,2011,1,D,?,8,MATHEMATICS,BB,24.6785267634866
CT,2011,1,D,?,8,MATHEMATICS,BA,37.1946225155708
CT,2011,1,D,?,8,MATHEMATICS,PR,28.2846349721722
CT,2011,1,D,?,8,MATHEMATICS,AD,9.84221574877035
CT,2011,1,D,?,8,READING,BB,16.6651789568774
CT,2011,1,D,?,8,READING,BA,38.6159706188262
CT,2011,1,D,?,8,READING,PR,38.3246761607659
CT,2011,1,D,?,8,READING,AD,6.39417426353051
CT,2013,3,D,?,4,MATHEMATICS,BB,16.5017369426265
CT,2013,3,D,?,4,MATHEMATICS,BA,38.3490365586907
CT,2013,3,D,?,4,MATHEMATICS,PR,36.4430040493554
CT,2013,3,D,?,4,MATHEMATICS,AD,8.70622244932736
CT,2013,3,D,?,4,READING,BB,23.9690477712158
CT,2013,3,D,?,4,READING,BA,33.4700063654007
CT,2013,3,D,?,4,READING,PR,30.5807430786323
CT,2013,3,D,?,4,READING,AD,11.9802027847511
CT,2013,3,D,?,8,MATHEMATICS,BB,26.18452016826
CT,2013,3,D,?,8,MATHEMATICS,BA,36.7070885039081
CT,2013,3,D,?,8,MATHEMATICS,PR,27.0303669363432
CT,2013,3,D,?,8,MATHEMATICS,AD,10.0780243914887
CT,2013,3,D,?,8,READING,BB,17.2925707233522
CT,2013,3,D,?,8,READING,BA,37.6097629793891
CT,2013,3,D,?,8,READING,PR,38.6322607153102
CT,2013,3,D,?,8,READING,AD,6.46540558194842
CT,2015,0,D,?,4,MATHEMATICS,BB,19.4714248088307
CT,2015,0,D,?,4,MATHEMATICS,BA,39.6361199171834
CT,2015,0,D,?,4,MATHEMATICS,PR,33.736501225303
CT,2015,0,D,?,4,MATHEMATICS,AD,7.15595404868282
CT,2015,0,D,?,4,READING,BB,25.6586839574007
CT,2015,0,D,?,4,READING,BA,30.8841121638166
CT,2015,0,D,?,4,READING,PR,30.515344249132
CT,2015,0,D,?,4,READING,AD,12.9418596296508
CT,2015,0,D,?,8,MATHEMATICS,BB,27.7156742855967
CT,2015,0,D,?,8,MATHEMATICS,BA,36.2205361772384
CT,2015,0,D,?,8,MATHEMATICS,PR,26.3299919115529
