state,year,pres,gov,grade,subject,ald,value
AK,2013,R,R,4,MATHEMATICS,BA,39.875052555263
AK,2013,R,R,4,MATHEMATICS,PR,30.4178109787712
AK,2013,R,R,4,MATHEMATICS,AD,6.25596257293548
AK,2013,R,R,4,READING,BB,42.0940233063461
AK,2013,R,R,4,READING,BA,30.4143264676399
AK,2013,R,R,4,READING,PR,21.614601211812
AK,2013,R,R,4,READING,AD,5.87704901420206
AK,2013,R,R,4,SCIENCE,BB,5.87704901420206
AK,2013,R,R,4,SCIENCE,BA,5.87704901420206
AK,2013,R,R,4,SCIENCE,PR,5.87704901420206
AK,2013,R,R,4,SCIENCE,AD,5.87704901420206
AK,2013,R,R,8,MATHEMATICS,BB,28.1494439092766
AK,2013,R,R,8,MATHEMATICS,BA,38.8177051553675
AK,2013,R,R,8,MATHEMATICS,PR,25.9741541638418
AK,2013,R,R,8,MATHEMATICS,AD,7.05869677151408
AK,2013,R,R,8,READING,BB,28.532109167087
AK,2013,R,R,8,READING,BA,40.396439161283
AK,2013,R,R,8,READING,PR,28.1163970132844
AK,2013,R,R,8,READING,AD,2.9550546583455
AK,2015,R,I,4,MATHEMATICS,BB,22.2923080116762
AK,2015,R,I,4,MATHEMATICS,BA,42.59416937509
AK,2015,R,I,4,MATHEMATICS,PR,29.1029368282933
AK,2015,R,I,4,MATHEMATICS,AD,6.01058578494045
AK,2015,R,I,4,READING,BB,38.7613048018614
AK,2015,R,I,4,READING,BA,31.3130090880479
AK,2015,R,I,4,READING,PR,23.5494762161628
AK,2015,R,I,4,READING,AD,6.37620989392786
AK,2015,R,I,4,SCIENCE,BB,6.37620989392786
AK,2015,R,I,4,SCIENCE,BA,6.37620989392786
AK,2015,R,I,4,SCIENCE,PR,6.37620989392786
AK,2015,R,I,4,SCIENCE,AD,6.37620989392786
AK,2015,R,I,8,MATHEMATICS,BB,29.0468444711267
AK,2015,R,I,8,MATHEMATICS,BA,39.1284841887847
AK,2015,R,I,8,MATHEMATICS,PR,24.9994528778147
AK,2015,R,I,8,MATHEMATICS,AD,6.82521846227387
AK,2015,R,I,8,READING,BB,29.2050421600987
AK,2015,R,I,8,READING,BA,39.4448805626305
AK,2015,R,I,8,READING,PR,28.7171194231231
AK,2015,R,I,8,READING,AD,2.63295785414775
AK,2017,R,I,4,MATHEMATICS,BB,29.0685370206737
